Step,large_model_Train,large_model_Val,medium_model_Train,medium_model_Val,medium_model_w_worddropout_Train,medium_model_w_worddropout_Val,medium_model_w_worddropout2_Train,medium_model_w_worddropout2_Val,small_model_Train,small_model_Val,small_model_wo_skip_Train,small_model_wo_skip_Val
1160,0.3390044867992401,0.3516460359096527,0.3740205764770508,0.38363221287727356,0.5911976099014282,0.4245908856391907,0.6594055891036987,0.4497869908809662,1.2539517879486084,1.2548829317092896,2.4343433380126953,2.444009304046631
1170,0.33958199620246887,0.35128459334373474,0.3740712106227875,0.38234779238700867,0.5894296169281006,0.42422857880592346,0.6565698981285095,0.44713711738586426,1.2013109922409058,1.2018741369247437,2.4307610988616943,2.441053628921509
1180,0.3386542499065399,0.3501107692718506,0.37691351771354675,0.3853341341018677,0.5874139666557312,0.4226720333099365,0.6499770879745483,0.44540122151374817,1.1488585472106934,1.1495205163955688,2.427795171737671,2.438748836517334
1190,0.3384322226047516,0.35048481822013855,0.37126845121383667,0.38028624653816223,0.5853363275527954,0.4227393865585327,0.646649181842804,0.4432733654975891,1.1044114828109741,1.106567144393921,2.4236555099487305,2.435147285461426
1200,0.33818504214286804,0.3501773178577423,0.3713870644569397,0.380037397146225,0.5814077258110046,0.42098602652549744,0.6424519419670105,0.4429354965686798,1.0572400093078613,1.058483600616455,2.4197397232055664,2.430375337600708
1210,0.33735722303390503,0.35016685724258423,0.3698188364505768,0.3785533905029297,0.5808514952659607,0.42029091715812683,0.6368842124938965,0.439205139875412,1.0167033672332764,1.0184342861175537,2.4180290699005127,2.429297685623169
1220,0.33744052052497864,0.34926819801330566,0.36854422092437744,0.37691032886505127,0.5776183605194092,0.42117273807525635,0.6358798742294312,0.4413459300994873,0.9802988171577454,0.9822810888290405,2.4147040843963623,2.4254770278930664
1230,0.3372111916542053,0.34866636991500854,0.36731329560279846,0.3758890926837921,0.5748518705368042,0.4193781912326813,0.6314871907234192,0.4401119649410248,0.9470652937889099,0.9495857357978821,2.4102683067321777,2.4208619594573975
1240,0.3370758891105652,0.34914517402648926,0.36597999930381775,0.3758450448513031,0.5725827217102051,0.4196080267429352,0.6279102563858032,0.43867865204811096,0.9140344262123108,0.9170570373535156,2.409785509109497,2.420914649963379
1250,0.33684074878692627,0.34829390048980713,0.3633350133895874,0.3720847964286804,0.5701557993888855,0.4187568724155426,0.6262235045433044,0.43893513083457947,0.8863499164581299,0.8895751237869263,2.4035391807556152,2.4148905277252197
